time,sensing_steps,hit_count,miss_rate,mean_candidate_cell_count,mean_hit_axis_error_deg,mean_local_continuity_axis_change_deg
8667,88,87,0.011363636363636364,5.534090909090909,45.16628974381546,13.879946964305395
8668,88,88,0.0,5.636363636363637,42.78124952052644,12.942824475751285
8669,88,88,0.0,5.75,44.028701522329584,15.623895680425823
8670,88,88,0.0,5.6022727272727275,43.64853131027173,14.318193069709269
8671,88,88,0.0,5.295454545454546,48.13183095961901,13.704297787335884
8672,88,87,0.011363636363636364,5.3977272727272725,47.44187378396243,10.277411423500915
8673,88,87,0.011363636363636364,5.534090909090909,46.113541701153835,14.470712393762353
8674,88,87,0.011363636363636364,5.556818181818182,47.190309356447045,12.206160558662924
8675,88,87,0.011363636363636364,5.431818181818182,48.65629105069793,13.345338944568432
8676,88,87,0.011363636363636364,5.340909090909091,47.1577231187208,13.441502741917388
8677,88,87,0.011363636363636364,5.443181818181818,45.799123304224146,12.960091097227393
8678,88,87,0.011363636363636364,5.386363636363637,47.079561938642044,13.080429754898017
8679,88,87,0.011363636363636364,5.318181818181818,44.64754523175026,13.771362098804618
8680,88,87,0.011363636363636364,5.375,48.91417047234336,10.492807380377487
8681,88,86,0.022727272727272728,5.25,46.014881543608524,15.77419449470084
8682,88,86,0.022727272727272728,5.329545454545454,45.44970502693337,13.051268597185503
8683,88,86,0.022727272727272728,5.443181818181818,44.9727885285612,10.883332615871234
8684,88,86,0.022727272727272728,5.329545454545454,45.20359395388178,12.892632866800769
8685,88,87,0.011363636363636364,5.261363636363637,46.36345105809631,13.150173293414188
8686,88,87,0.011363636363636364,5.1477272727272725,45.52531096269105,14.694472308371772
8687,88,87,0.011363636363636364,5.170454545454546,45.478012430442895,13.252073912075996
8688,88,87,0.011363636363636364,5.386363636363637,42.15011001883598,11.383159885079356
8689,88,87,0.011363636363636364,5.329545454545454,43.5689939984136,14.00722930499402
8690,88,87,0.011363636363636364,5.306818181818182,40.73136066001391,10.094041067612737
8691,88,87,0.011363636363636364,5.261363636363637,43.89246577248589,13.47650320556122
8692,88,88,0.0,5.1022727272727275,45.27027486403797,12.074837481953516
8693,88,88,0.0,5.25,46.26948192975766,11.733812118630995
8694,88,88,0.0,5.409090909090909,43.37017485279449,11.470187757664457
8695,88,88,0.0,5.534090909090909,48.09873788546502,12.820821869655555
8696,88,88,0.0,5.454545454545454,45.38155283455739,12.731392090902657
8697,88,88,0.0,5.511363636363637,43.73984722373073,13.548918665233039
8698,88,88,0.0,5.5,43.34763288132304,11.430184966643752
8699,88,88,0.0,5.568181818181818,42.55983445183603,12.299293557214094
8700,88,88,0.0,5.625,46.288803868968365,15.031681831069307
8701,88,88,0.0,5.556818181818182,43.675972471338156,12.77524325013099
8702,88,88,0.0,5.454545454545454,45.291187167779434,12.097270389527756
8703,88,88,0.0,5.465909090909091,45.64454651874054,14.13536969488567
8704,88,87,0.011363636363636364,5.681818181818182,45.68568300754434,14.32010731286756
8705,88,88,0.0,5.681818181818182,44.01665858216405,12.208319556096873
