time,role,sample_count,axis_angle_rad,mean_axial_error_rad,median_axial_error_rad,p90_axial_error_rad,mean_axial_error_deg,median_axial_error_deg,p90_axial_error_deg,mean_signed_axis_velocity,mean_abs_axis_velocity,mean_signed_perpendicular_velocity,mean_abs_perpendicular_velocity,sample_too_small,interpretation_warning
3821,forager,15,0.7853981633974483,0.8434588208027546,0.8758236643397269,1.3995507870517916,48.32663062507904,50.18099956434882,80.18835331228028,0.006804809422843404,0.35180408570107224,-0.10331472351629042,0.40176527403623535,False,
3821,transporter,16,0.7853981633974483,0.6352917427423737,0.6826103901487827,1.3115125072900475,36.399535618648855,39.110694407303754,75.14413144634034,0.0704407111207336,0.43503910703783777,0.031071633869851165,0.3146206971113279,False,
3821,follower,69,0.7853981633974483,0.7921824890648999,0.7853981633974484,1.3361655760471096,45.38871322758725,45.00000000000001,76.55664823816582,-0.036952561317879905,0.3904478880729699,-0.009109388368403613,0.39749101373224505,False,
3822,forager,15,0.7853981633974483,0.8244211410984837,0.9050633539429686,1.2959192100484886,47.23585192630246,51.856310372887116,74.25070132570602,-0.019966038416537938,0.3629075323540602,-0.0763197405065548,0.39886231626841645,False,
3822,transporter,16,0.7853981633974483,0.6208945997342341,0.6826103901487831,1.3012113592202814,35.57464008723618,39.110694407303775,74.5539191378034,0.0682365894309565,0.4372432287276148,0.03914569594091182,0.3065466350402678,False,
3822,follower,69,0.7853981633974483,0.8035491880565582,0.7853981633974483,1.514812447976623,46.03997710680488,45.0,86.79236002294108,-0.03805924362557099,0.38293946512449717,-0.012336194432480003,0.39599674933037143,False,
3823,forager,15,0.7853981633974483,0.9213860375743859,0.7749151515813829,1.493711643777344,52.79153125529459,44.39936766635368,85.58337299799047,0.013816452482473226,0.32931601431912244,-0.11808648862956533,0.4317535960913207,False,
3823,transporter,16,0.7853981633974483,0.6310952946817608,0.6226805280535435,1.4511818427834464,36.15909685582989,35.676966242445495,83.14659489750885,0.035805494863386474,0.42437684618999844,0.07510739442216226,0.3024373232992885,False,
3823,follower,69,0.7853981633974483,0.7697032494175554,0.7853981633974483,1.4676412881186542,44.100747669131266,45.0,84.08965164834254,-0.04070513361313046,0.3952521643045444,-0.013345497694874236,0.382688537680604,False,
3824,forager,15,0.7853981633974483,0.8199468253698683,0.8414033610656279,1.2580011325516043,46.97949251884379,48.20886145718261,72.07815551788457,-0.023696579317034824,0.3772002899476771,-0.10301811274685256,0.40718989139628087,False,
3824,transporter,16,0.7853981633974483,0.6333116125136526,0.6576504765731925,1.4511818427834489,36.28608251365687,37.68059670241115,83.14659489750898,0.035517975094411416,0.42408932642102315,0.03215866467330118,0.3036977137501453,False,
3824,follower,69,0.7853981633974483,0.7762389853706614,0.7853981633974483,1.3621515419494903,44.475217755256146,45.0,78.0455344109431,-0.020273327813672977,0.39286199109566994,0.019160347315146,0.38668623252275625,False,
3825,forager,15,0.7853981633974483,0.9107536846400427,1.0860002302820642,1.4292508008880989,52.182342305863195,62.223229745397774,81.89003875658084,0.013364355417922597,0.31631189031484885,-0.17057979041180704,0.42251244096737345,False,
3825,transporter,16,0.7853981633974483,0.6244461627880182,0.6576504765731944,1.4511818427834533,35.7781296608926,37.68059670241126,83.14659489750923,0.028187690596844846,0.43141961091858927,0.033497578113977536,0.3023588003094697,False,
3825,follower,69,0.7853981633974483,0.8037559263436403,0.7853981633974483,1.3744283826945798,46.051822338118455,45.0,78.74894557139098,-0.006905181752206432,0.38633627762761164,0.02553030426429713,0.40123599781446917,False,
3826,forager,15,0.7853981633974483,0.8751525055523253,0.8298019652234748,1.3566218244756532,50.14254499844758,47.54415043896662,77.72870493779249,-0.06597574353590742,0.3573879094062139,-0.08249974558202622,0.43182430901235774,False,
3826,transporter,16,0.7853981633974483,0.6158320903453118,0.5468447691538465,1.4543517245080473,35.28457966550558,31.33189732132119,83.32821574188412,0.04103420719099132,0.43575867320421513,0.06239876346019724,0.29897968808453657,False,
3826,follower,69,0.7853981633974483,0.8172445255682974,0.7853981633974483,1.50160200549856,46.82466214523474,45.0,86.03545742344772,-0.010995488635560418,0.38162581699838155,0.005196942084288464,0.40530166582839416,False,
3827,forager,15,0.7853981633974483,0.7430810662994911,0.9585839050257082,1.25055386426339,42.57540893504175,54.922812067142424,71.65145847606827,-0.07369884759028372,0.3909878298962655,-0.1262169255480529,0.3607466053380015,False,
3827,transporter,16,0.7853981633974483,0.6187458208025289,0.5856974415374432,1.4543517245080433,35.45152412334284,33.55799147170577,83.3282157418839,0.03796134933095249,0.4328525841132093,0.03231340456487518,0.3002435481543629,False,
3827,follower,69,0.7853981633974483,0.8001221909644828,0.7853981633974483,1.5271243566063581,45.84362463702536,45.0,87.4977804251756,-0.009423666677630187,0.38160347167514513,0.005821925475143759,0.3917787079106571,False,
3828,forager,15,0.7853981633974483,0.8209384182381617,0.6269178366395726,1.4567964733438665,47.03630660519227,35.919746140919514,83.46828953214609,-0.15974313079677752,0.3711315779046818,-0.08556035773404898,0.3967589636602039,False,
3828,transporter,16,0.7853981633974483,0.5985401538401706,0.5530371731378259,1.300181114833558,34.29382468415279,31.686695934643204,74.4948904825771,0.009519525439157843,0.44647956755327656,0.02741935830100414,0.2971741736107292,False,
3828,follower,69,0.7853981633974483,0.7892887322998897,0.7853981633974483,1.472123303377515,45.22291317801474,45.0,84.34645220638849,-0.009989306464415815,0.387691503033361,-0.011541210760858721,0.39097090995795347,False,
3829,forager,15,0.7853981633974483,0.8367082701660117,0.8773988901302208,1.3801652641608206,47.93985256420432,50.27125335392427,79.0776446669734,-0.12343530658787318,0.35941512743951487,-0.12088866808026352,0.4003487066934807,False,
3829,transporter,16,0.7853981633974483,0.5680700220990457,0.5674371969814711,1.2822726782063223,32.54801473417872,32.51175652577183,73.46881264615901,0.0231022681125905,0.4499134861371005,0.017231006882477178,0.2798382352972367,False,
3829,follower,69,0.7853981633974483,0.7658013185680059,0.7853981633974483,1.3172332992579276,43.877183499500184,45.0,75.4719086815722,-0.00526749369192301,0.4052109680313158,0.013505643933700604,0.38983792224355696,False,
3830,forager,14,0.7853981633974483,0.757821674765433,0.656212093668911,1.3653514370294608,43.419983587595034,37.598183432672045,78.22887489391009,-0.13851728929673732,0.39483676321923944,-0.1266689571534079,0.3690460362811154,False,
3830,transporter,16,0.7853981633974483,0.5955366580227559,0.6327841544157107,1.2822726782063145,34.12173705002973,36.2558613907748,73.46881264615855,0.018160988947642835,0.4445931292667179,0.01004687358432094,0.2945607004874652,False,
3830,follower,70,0.7853981633974483,0.755189218819262,0.7853981633974483,1.4740128769983007,43.26915497212532,45.0,84.45471679993878,-0.012331566991114538,0.40100686076176695,-0.0016505066251941512,0.3783523074168105,False,
